Env. Initial State,Org Initial State,Environment rule,Organism rule,Recurrence time,Attractor size,Env Attractor Size,Num unique states,Num. unique rules,Org State Recurrence,Org Rule Recurrence,Env Recurrence
189,14,30,30,47,40,40,8,41,47,46,40
81,3,30,30,46,40,40,4,46,46,45,45
29,1,30,30,50,40,40,6,50,50,49,49
182,8,30,30,45,40,40,5,45,45,44,44
237,1,30,30,42,40,40,4,41,42,41,40
99,9,30,30,49,40,40,4,49,49,48,48
199,5,30,30,54,40,40,3,54,54,53,53
132,4,45,30,29,24,24,5,25,29,28,24
69,5,45,30,17,2,2,3,17,17,16,16
190,1,45,30,16,2,2,6,16,16,15,15
211,5,45,30,19,2,2,3,18,19,18,18
126,1,45,30,18,2,2,5,18,18,17,17
36,11,110,30,21,16,16,5,21,14,20,20
1,0,110,30,24,16,16,2,21,24,23,20
10,2,110,30,24,16,16,8,23,24,23,23
210,8,110,30,21,16,16,4,21,21,20,20
222,11,110,30,20,16,16,4,20,20,19,19
141,10,110,30,21,16,16,4,20,21,20,19
104,3,150,30,17,16,4,12,5,17,6,4
247,11,105,30,17,16,4,8,5,17,6,4
65,3,54,30,17,16,4,12,5,17,6,4
13,9,62,30,31,16,16,11,18,31,30,17
138,8,62,30,21,16,16,4,21,21,20,20
161,10,62,30,23,16,16,4,18,18,22,17
44,9,154,30,17,8,8,7,9,17,16,8
236,9,154,30,18,8,8,5,9,18,17,8
137,0,58,30,16,8,8,2,12,16,15,11
56,12,25,30,21,16,16,4,21,14,20,20
123,12,25,30,26,24,24,3,26,26,25,25
251,14,25,30,22,16,16,3,22,22,21,21
208,1,25,30,22,16,16,6,17,22,21,16
178,4,25,30,22,16,16,5,20,15,21,19
18,2,9,30,18,12,12,4,18,13,17,17
101,8,9,30,16,12,12,4,16,16,15,15
57,13,9,30,16,12,12,4,16,16,15,15
97,12,9,30,20,12,12,5,20,15,19,19
143,14,35,30,65,64,16,12,17,65,18,16
249,10,35,30,18,16,16,4,17,18,17,16
147,15,35,30,17,16,16,2,17,17,16,16
43,2,35,30,17,8,8,7,12,17,16,11
4,12,35,30,17,16,16,3,17,17,16,16
203,15,35,30,20,16,16,2,20,20,19,19
251,14,106,30,16,15,15,3,16,16,15,15
254,15,106,30,17,15,15,2,16,17,16,15
105,3,106,30,21,15,15,5,16,21,20,15
144,11,106,30,16,8,8,8,9,16,15,8
64,0,3,30,17,16,16,2,17,17,16,16
157,6,3,30,20,16,16,5,18,20,19,17
200,15,3,30,19,16,16,2,17,19,18,16
202,7,3,30,18,16,16,3,18,18,17,17
45,7,27,30,20,16,16,5,19,20,19,18
2,1,27,30,19,16,16,5,17,19,18,16
9,0,27,30,21,16,16,2,17,21,20,16
223,2,27,30,17,16,16,3,17,17,16,16
220,2,27,30,30,16,16,8,17,30,29,16
121,14,27,30,25,16,16,8,19,25,24,18
5,11,27,30,18,16,16,3,17,11,17,17
131,14,184,30,22,8,8,11,11,18,21,10
100,7,56,30,18,8,8,8,10,18,17,9
248,8,11,30,19,8,8,10,9,19,18,8
210,5,7,30,19,16,16,3,18,12,18,18
161,8,7,30,32,16,16,11,18,25,31,18
180,4,7,30,19,16,16,4,18,12,18,18
69,13,170,30,18,8,8,10,9,18,17,8
193,8,170,30,18,8,8,9,9,18,17,8
188,1,170,30,20,8,8,9,9,20,19,8
141,14,46,30,18,8,8,9,9,18,17,8
169,13,46,30,21,8,8,10,11,21,20,10
26,11,42,30,17,8,8,6,9,17,16,8
214,8,162,30,16,8,8,6,10,16,15,9
224,7,138,30,19,8,8,11,9,19,18,8
246,14,38,30,20,8,8,9,10,20,19,9
228,4,10,30,20,8,8,8,10,20,19,9
216,5,74,30,25,24,24,3,25,25,24,24
234,3,168,30,18,8,8,8,9,14,17,8
229,9,30,45,51,40,40,7,51,51,50,50
138,6,30,45,46,40,40,4,46,46,45,45
217,7,30,45,57,40,40,3,57,57,56,56
81,7,30,45,46,40,40,6,46,46,45,45
188,11,30,45,51,40,40,5,51,51,50,50
94,13,30,45,51,40,40,4,51,51,50,50
36,4,45,45,33,24,24,4,25,33,32,24
3,0,45,45,20,2,2,2,20,20,19,19
169,9,45,45,40,32,32,8,33,40,39,32
159,12,45,45,18,2,2,4,18,18,17,17
36,3,110,45,21,16,16,3,21,14,20,20
7,13,110,45,19,16,16,3,19,12,18,18
149,10,110,45,21,16,16,3,21,21,20,20
144,8,110,45,21,16,16,6,21,21,20,20
180,9,110,45,21,16,16,5,21,14,20,20
83,5,110,45,21,16,16,3,21,21,20,20
1,8,110,45,27,16,16,8,21,19,26,20
106,13,105,45,17,16,4,8,5,17,6,4
185,4,62,45,22,16,16,6,17,22,21,16
211,14,62,45,16,12,3,12,4,16,8,3
73,9,26,45,17,8,8,7,9,14,16,8
197,7,26,45,20,8,8,11,10,20,19,9
110,15,26,45,17,16,16,2,17,17,16,16
153,2,154,45,17,16,4,9,5,17,6,4
118,8,58,45,27,16,16,7,17,22,26,16
190,1,58,45,17,8,8,8,12,17,16,11
27,13,58,45,16,8,8,8,10,16,15,9
144,14,58,45,17,8,8,8,11,17,16,10
50,15,25,45,21,16,16,2,21,21,20,20
80,14,25,45,21,16,16,4,19,14,20,18
59,3,25,45,25,16,16,5,25,25,24,24
138,2,25,45,24,16,16,4,24,17,23,23
46,4,25,45,24,16,16,6,22,17,23,21
207,12,9,45,25,12,12,12,16,25,24,15
114,11,9,45,16,12,12,5,16,16,15,15
88,2,9,45,20,12,12,5,20,20,19,19
18,3,9,45,18,12,12,6,18,13,17,17
224,0,35,45,17,16,16,2,17,17,16,16
143,8,35,45,66,64,16,12,17,66,19,16
190,8,35,45,26,16,16,10,20,26,25,19
23,1,35,45,19,16,16,3,19,19,18,18
134,3,106,45,22,15,15,7,16,22,21,15
191,4,106,45,16,15,15,3,16,16,15,15
75,6,106,45,21,15,15,7,16,21,20,15
100,14,106,45,20,15,15,6,16,20,19,15
139,7,106,45,23,15,15,8,16,23,22,15
199,8,3,45,65,64,16,12,17,65,18,16
4,8,3,45,22,16,16,5,17,22,21,16
112,14,3,45,28,16,16,9,17,21,27,16
230,9,3,45,18,16,16,4,18,18,17,17
101,3,3,45,18,16,16,4,18,18,17,17
53,10,3,45,18,16,16,3,18,18,17,17
97,5,27,45,20,16,16,4,20,20,19,19
190,5,27,45,18,16,16,3,18,18,17,17
45,5,27,45,19,16,16,3,18,19,18,18
248,9,27,45,22,16,16,7,17,22,21,16
93,9,27,45,18,16,16,4,18,18,17,17
25,8,27,45,28,16,16,11,18,28,27,17
101,8,27,45,21,16,16,4,21,21,20,20
42,13,43,45,17,8,8,8,10,17,16,9
52,6,56,45,25,8,8,11,10,21,24,9
231,8,11,45,33,32,8,12,9,33,10,8
134,11,11,45,18,16,8,10,10,18,17,9
251,4,142,45,17,8,8,7,10,17,16,9
190,7,134,45,19,8,8,11,11,19,18,10
22,0,7,45,18,16,16,2,18,11,17,17
25,7,7,45,67,64,16,12,19,67,20,18
193,2,7,45,32,16,16,10,17,25,31,16
227,11,170,45,16,8,8,8,9,16,15,8
232,3,170,45,18,8,8,9,9,18,17,8
228,13,170,45,18,8,8,7,9,18,17,8
169,8,46,45,21,8,8,10,11,21,20,10
240,13,46,45,16,8,8,9,10,16,15,9
219,13,46,45,17,8,8,7,10,17,16,9
