Organism rule,IC,mu,t_abs,Num states visted,Num rules visited
30,2,0.5,5,5,5
30,13,0.5,7,6,8
30,8,0.5,7,5,8
30,11,0.5,3,4,4
30,14,0.5,5,6,6
30,2,0.5,9,9,10
30,15,0.5,1,1,2
30,4,0.5,3,3,4
30,4,0.5,5,6,6
30,7,0.5,1,2,2
30,5,0.5,3,3,4
30,10,0.5,2,3,3
30,15,0.5,1,1,2
30,11,0.5,2,3,3
30,7,0.5,8,7,8
30,10,0.5,1,2,2
30,15,0.5,1,2,2
30,8,0.5,4,5,5
30,7,0.5,4,4,5
30,12,0.5,8,5,9
30,15,0.5,1,2,2
30,14,0.5,7,6,8
30,13,0.5,7,6,8
30,11,0.5,4,3,5
30,10,0.5,5,3,6
30,8,0.5,3,3,4
30,6,0.5,1,2,2
30,10,0.5,4,3,4
30,11,0.5,2,3,3
30,11,0.5,2,3,3
30,7,0.5,1,2,2
30,8,0.5,8,5,9
30,2,0.5,2,3,3
30,3,0.5,3,4,4
30,10,0.5,1,2,2
30,9,0.5,1,2,2
30,14,0.5,2,2,3
30,8,0.5,9,7,9
30,6,0.5,2,3,3
30,14,0.5,2,3,3
30,8,0.5,6,7,7
30,10,0.5,1,2,2
30,4,0.5,3,3,4
30,4,0.5,1,2,2
30,8,0.5,6,7,7
30,3,0.5,2,3,3
30,7,0.5,5,4,6
30,13,0.5,3,4,4
30,9,0.5,1,2,2
30,9,0.5,2,2,3
30,2,0.5,10,9,11
30,4,0.5,6,5,7
30,7,0.5,1,2,2
30,12,0.5,4,4,5
30,3,0.5,2,3,3
30,0,0.5,1,1,2
30,8,0.5,2,3,3
30,2,0.5,7,6,7
30,3,0.5,6,4,6
30,14,0.5,1,2,2
30,3,0.5,3,4,4
30,0,0.5,1,2,2
30,14,0.5,2,3,3
30,5,0.5,1,2,2
30,5,0.5,1,2,2
30,0,0.5,1,2,2
30,9,0.5,9,7,10
30,15,0.5,1,2,2
30,15,0.5,1,1,2
30,4,0.5,2,3,3
30,11,0.5,2,3,3
30,7,0.5,2,3,3
30,0,0.5,1,2,2
30,11,0.5,1,2,2
30,7,0.5,5,6,6
30,14,0.5,3,4,4
30,9,0.5,3,4,4
30,1,0.5,4,3,5
30,13,0.5,14,9,15
30,10,0.5,1,2,2
30,15,0.5,1,1,2
30,15,0.5,1,1,2
30,8,0.5,8,8,9
30,3,0.5,10,7,11
30,1,0.5,4,5,5
30,3,0.5,2,3,3
30,3,0.5,1,2,2
30,11,0.5,2,3,3
30,15,0.5,1,2,2
30,14,0.5,10,8,11
30,8,0.5,4,5,5
30,2,0.5,11,7,12
30,3,0.5,9,7,10
30,13,0.5,8,8,9
30,2,0.5,1,2,2
30,15,0.5,1,2,2
30,8,0.5,3,4,4
30,1,0.5,3,4,4
30,12,0.5,7,5,8
30,12,0.5,7,7,7
30,12,0.5,5,5,6
30,15,0.5,1,1,2
30,8,0.5,11,6,12
30,14,0.5,8,8,9
30,5,0.5,1,2,2
30,11,0.5,3,4,4
30,12,0.5,1,2,2
30,10,0.5,1,2,2
30,9,0.5,2,3,3
30,9,0.5,5,6,6
30,13,0.5,3,4,4
30,15,0.5,1,1,2
30,13,0.5,5,4,6
30,8,0.5,3,3,4
30,3,0.5,10,8,11
30,3,0.5,8,5,9
30,3,0.5,1,2,2
30,2,0.5,7,7,8
30,4,0.5,6,5,7
30,7,0.5,3,4,4
30,8,0.5,2,3,3
30,12,0.5,1,2,2
30,11,0.5,9,5,10
30,10,0.5,2,2,3
30,7,0.5,6,6,7
30,1,0.5,6,5,7
30,7,0.5,5,6,6
30,8,0.5,6,6,7
30,9,0.5,4,4,5
30,0,0.5,1,1,2
30,13,0.5,3,4,4
30,7,0.5,2,3,3
30,15,0.5,1,2,2
